"filename", "language", "Markdown", "CSS", "JSON with Comments", "TypeScript", "JSON", "XML", "TypeScript JSX", "HTML", "comment", "blank", "total"
"c:\Users\nilow\Desktop\react-project\app\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\nilow\Desktop\react-project\app\package-lock.json", "JSON", 0, 0, 0, 0, 31271, 0, 0, 0, 0, 1, 31272
"c:\Users\nilow\Desktop\react-project\app\package.json", "JSON", 0, 0, 0, 0, 55, 0, 0, 0, 0, 1, 56
"c:\Users\nilow\Desktop\react-project\app\public\images\Account.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\nilow\Desktop\react-project\app\public\images\ArrowDown.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\nilow\Desktop\react-project\app\public\images\BigDots.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\nilow\Desktop\react-project\app\public\images\Cart.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\nilow\Desktop\react-project\app\public\images\CartIcon.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\nilow\Desktop\react-project\app\public\images\Dots.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\nilow\Desktop\react-project\app\public\images\FavoriteDescriptionBg.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\nilow\Desktop\react-project\app\public\images\Flame.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\nilow\Desktop\react-project\app\public\images\Logo.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\nilow\Desktop\react-project\app\public\images\Search.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\nilow\Desktop\react-project\app\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 23, 23, 1, 47
"c:\Users\nilow\Desktop\react-project\app\public\manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"c:\Users\nilow\Desktop\react-project\app\src\App.css", "CSS", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\nilow\Desktop\react-project\app\src\App.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\nilow\Desktop\react-project\app\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 145, 0, 6, 22, 173
"c:\Users\nilow\Desktop\react-project\app\src\app.module.css", "CSS", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\nilow\Desktop\react-project\app\src\components\Avatar\Avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 99, 0, 8, 9, 116
